# sigma8,om0,ode0
8.128729179919775838e-01,3.307068652274766096e-01,7.166043595120283882e-01
8.096762522487400693e-01,3.327472660052891440e-01,7.140931709572245767e-01
8.104992473364304173e-01,3.313729300801758759e-01,7.140647912594119129e-01
8.108526857966549262e-01,3.312124228149435634e-01,7.096847599068477619e-01
8.103701227652337913e-01,3.321138505513425709e-01,7.144592920199483999e-01
8.099859789866368232e-01,3.322903184084124995e-01,7.136698082520865904e-01
8.102815591584564547e-01,3.307453469900539234e-01,7.120523715172910606e-01
8.112016741234904238e-01,3.319598217817507080e-01,7.116756882589683197e-01
8.143324482559332056e-01,3.280273440491848769e-01,7.273356042717031844e-01
8.116881978995110769e-01,3.307216213380337333e-01,7.180365566824268297e-01
8.097671074689414272e-01,3.319827025341700599e-01,7.086050884738078759e-01
8.105144360479085153e-01,3.311882708157874444e-01,7.184761059497515312e-01
8.095852690950248176e-01,3.328675735978356420e-01,7.122555189481213356e-01
8.121996069044098432e-01,3.313272747157953169e-01,7.168998632318226427e-01
8.108591208633961767e-01,3.319725756518004944e-01,7.131460944588148276e-01
8.104201752153029625e-01,3.316119172275286964e-01,7.127936896047700754e-01
8.138450213715830994e-01,3.296858296573092484e-01,7.245172277552971440e-01
8.121973500007430014e-01,3.315673178995289794e-01,7.136786841694738870e-01
8.116297226413894395e-01,3.310122845737823449e-01,7.149161245274183729e-01
8.112148376577966724e-01,3.310280279298041251e-01,7.144854421913426901e-01
8.128729179919775838e-01,3.307068652274766096e-01,7.166043595120283882e-01
8.096614509914304980e-01,3.327691026700997923e-01,7.141134026633296772e-01
8.107324368180633956e-01,3.313996241050916614e-01,7.140117696641634648e-01
8.111380935173055917e-01,3.312367595181444635e-01,7.112136142565078645e-01
8.104765148502157679e-01,3.319151101379842483e-01,7.134066369401960150e-01
8.100896665941008656e-01,3.321373454898381983e-01,7.135280785897288869e-01
8.103663595253761676e-01,3.312541618046331293e-01,7.126414397498350706e-01
8.112016741234904238e-01,3.319598217817507080e-01,7.116756882589683197e-01
8.143324482559332056e-01,3.280273440491848769e-01,7.273356042717031844e-01
8.129533523158055663e-01,3.294478526874544122e-01,7.205162418883768183e-01
8.104901766625013382e-01,3.314074574031299902e-01,7.113081412860603470e-01
8.105144360479085153e-01,3.311882708157874444e-01,7.184761059497515312e-01
8.100463005092434221e-01,3.325645745651154006e-01,7.128653626930685494e-01
8.121996069044098432e-01,3.313272747157953169e-01,7.168998632318226427e-01
8.107487326904916358e-01,3.318116369054759374e-01,7.130330419383070772e-01
8.102907215784578288e-01,3.316999271414398098e-01,7.122887127127568441e-01
8.154639746133488520e-01,3.284188855096173976e-01,7.366448998157708594e-01
8.121976455670870676e-01,3.315358816059581493e-01,7.141005329763142617e-01
8.113212962614513302e-01,3.310880565619092053e-01,7.144972875324587802e-01
8.112148376577966724e-01,3.310280279298041251e-01,7.144854421913426901e-01
8.128729179919775838e-01,3.307068652274766096e-01,7.166043595120283882e-01
8.097952370372857311e-01,3.325635979103991335e-01,7.140698935993050611e-01
8.109179633169788515e-01,3.316211144095689844e-01,7.130881325209208477e-01
8.118846926271608977e-01,3.312199240129862776e-01,7.098322921254434092e-01
8.105274538554018138e-01,3.318899626813162640e-01,7.132773396511488118e-01
8.101269193353612952e-01,3.320541106127719022e-01,7.139620259495023102e-01
8.103663595253761676e-01,3.312541618046331293e-01,7.126414397498350706e-01
