# sigma8,om0
8.133926753575377866e-01,3.261662146682250962e-01
8.125551401444588429e-01,3.272607180827948881e-01
8.109722869709169446e-01,3.268441376360454731e-01
8.162364705253534192e-01,3.240623205163825626e-01
8.105457607108665918e-01,3.278431279707919033e-01
8.165904328189161898e-01,3.235341085086750890e-01
8.162062184034054590e-01,3.242174768493257808e-01
8.109570170732312011e-01,3.280589568109426590e-01
8.103186045269447080e-01,3.285232146652138918e-01
8.170212836274691748e-01,3.222361691251366400e-01
8.107852566420785667e-01,3.271610161950698203e-01
8.136123064557805318e-01,3.249836060315703379e-01
8.106277025480757015e-01,3.285178502768018594e-01
8.098617548225083285e-01,3.281760277624741207e-01
8.118978557060757550e-01,3.254721866770760585e-01
8.105540564497933920e-01,3.283871966886502958e-01
8.134050241098765843e-01,3.259401883779277642e-01
8.136483871600029838e-01,3.249072338678563598e-01
8.099668166989423268e-01,3.282723829947336580e-01
8.123922501037750266e-01,3.260440088048716656e-01
8.134942003496117291e-01,3.256663628250700548e-01
8.126985728849350776e-01,3.271671669784345093e-01
8.109722869709169446e-01,3.268441376360454731e-01
8.146462173701608522e-01,3.248820929820009362e-01
8.111915629595208843e-01,3.272138932687618795e-01
8.165904328189161898e-01,3.235341085086750890e-01
8.155233845706348905e-01,3.245546144143703904e-01
8.109570170732312011e-01,3.280589568109426590e-01
8.104074851721282391e-01,3.285907602838607500e-01
8.176809014600303627e-01,3.216889212842778956e-01
8.107852566420785667e-01,3.271610161950698203e-01
8.146489898204010149e-01,3.238298593439989936e-01
8.113391200835629036e-01,3.275204647444810990e-01
8.098617548225083285e-01,3.281760277624741207e-01
8.119900092452748686e-01,3.252188169549914409e-01
8.108752786764067411e-01,3.280296668535339077e-01
8.139313924978572867e-01,3.255959021494335137e-01
8.138208494813640170e-01,3.247511594621769193e-01
8.099668166989423268e-01,3.282723829947336580e-01
8.126241994316104611e-01,3.258180099538445784e-01
8.140004980643709143e-01,3.247113257670440345e-01
8.126985728849350776e-01,3.271671669784345093e-01
8.109722869709169446e-01,3.268441376360454731e-01
8.142944551777956397e-01,3.251195231511381789e-01
8.111915629595208843e-01,3.272138932687618795e-01
8.166199857542504326e-01,3.235136185480602666e-01
8.155233845706348905e-01,3.245546144143703904e-01
8.109570170732312011e-01,3.280589568109426590e-01
8.128674701395112168e-01,3.266499758016620514e-01
8.238577121802965753e-01,3.158371693108459888e-01
8.107852566420785667e-01,3.271610161950698203e-01
8.146489898204010149e-01,3.238298593439989936e-01
8.123984172900134970e-01,3.263393161490149574e-01
